Date,ret_BTC,ret_SOL
2021-01-02,0.08959001114880749,-0.023513738072326373
2021-01-03,0.02017517240339295,0.1835351687829384
2021-01-04,-0.025022467355816147,0.1393926680606884
2021-01-05,0.06128001171320463,-0.14149268843492524
2021-01-06,0.08002182823087978,-0.11170476574173538
2021-01-07,0.06687092425852725,0.2069333171597858
2021-01-08,0.03559288987944953,0.3052987430326448
2021-01-09,-0.013400522620514721,0.050120460781651666
2021-01-10,-0.0483004859568652,0.023566468021437137
2021-01-11,-0.07551390060372576,-0.10902483511215633
2021-01-12,-0.0473164778588302,0.1506402595297145
2021-01-13,0.0953397207362574,-0.027955667431146525
2021-01-14,0.04892161277885165,-0.06940947512051143
2021-01-15,-0.062166498972308304,-0.008578969274781523
2021-01-16,-0.01773184714361875,0.05881575990540666
2021-01-17,-0.010750872199338346,0.10224287837640689
2021-01-18,0.02316538885922803,-0.0059430286669797106
2021-01-19,-0.015413522880193042,-0.04132394337110146
2021-01-20,-0.014579216975338483,0.02218884853311076
2021-01-21,-0.14252813081835924,-0.2192324005727282
2021-01-22,0.0683334114753027,0.11238143595364658
2021-01-23,-0.028834641394270832,0.04610307454891349
2021-01-24,0.006890847351744611,0.036509951137417396
2021-01-25,0.0023822686367900303,0.0178805888634761
2021-01-26,0.006266383460683755,0.08973465109892897
2021-01-27,-0.06787434522440883,-0.09227679277771816
2021-01-28,0.09502025954716942,0.035007155713114635
2021-01-29,0.02509007084781878,0.0032922617998891734
2021-01-30,-0.0013665573129024722,0.09676294739895552
2021-01-31,-0.03428942338957164,0.00939354345613519
2021-02-01,0.012687542067995494,0.07833382088235519
2021-02-02,0.05716793887942018,0.13298212602575687
2021-02-03,0.053773897801539405,0.08171013110435665
2021-02-04,-0.014678676703823612,0.11709484860702823
2021-02-05,0.03245885330843379,0.03901303566756287
2021-02-06,0.028982741281131652,-0.08931657297653062
2021-02-07,-0.00927658818340582,0.09211776781839953
2021-02-08,0.1718205618881239,0.16256368404479993
2021-02-09,0.0061426193854519084,-0.008465921736511728
2021-02-10,-0.03420320342962846,0.14894198607102282
2021-02-11,0.06446761605839413,0.01565444559421314
2021-02-12,-0.008478464657924789,0.003429691956331915
2021-02-13,-0.00844174525182062,-0.05725391371292021
2021-02-14,0.03364387990623818,0.0007373346680457082
2021-02-15,-0.015978235928811202,0.013959130421760335
2021-02-16,0.025835260740748822,-0.06574456636641024
2021-02-17,0.05821415216952097,-0.00911479714357144
2021-02-18,-0.009038226589304088,0.08816649364180762
2021-02-19,0.07828513543693205,0.24430573844296122
2021-02-20,0.0037751835203785333,-0.13650448846514518
2021-02-21,0.025352159710532618,0.10278771235727158
2021-02-22,-0.05966344725525374,0.26538639449639634
2021-02-23,-0.10458524450100981,0.050371086980761426
2021-02-24,0.0178814957381217,0.1294663894989423
2021-02-25,-0.05396975925205183,-0.22503462695466814
2021-02-26,-0.016142075456887284,-0.01664565442721555
2021-02-27,-0.003270542479990368,-0.02887740562000829
2021-02-28,-0.023010476566760474,-0.008514280764135851
2021-03-01,0.09490116032713836,0.13329399771748296
2021-03-02,-0.025554925208490786,-0.06896619898075329
2021-03-03,0.043664727693901284,0.011161101597875867
2021-03-04,-0.03990612219912748,-0.0748216582704404
2021-03-05,0.0075114201765362765,-0.03793298704797188
2021-03-06,-0.0003050270395785759,0.03322460567289287
2021-03-07,0.04583962336068126,0.06253566608578653
2021-03-08,0.02010313651550355,-0.020054890837428285
