Date,BTC,SOL
2021-01-01,29374.15234375,1.8420840501785278
2021-01-02,32127.267578125,1.7992750406265259
2021-01-03,32782.0234375,2.1617519855499268
2021-01-04,31971.9140625,2.4850969314575195
2021-01-05,33992.4296875,2.157217025756836
2021-01-06,36824.36328125,1.929216980934143
2021-01-07,39371.04296875,2.3727450370788574
2021-01-08,40797.609375,3.2198870182037354
2021-01-09,40254.546875,3.3853819370269775
2021-01-10,38356.44140625,3.466110944747925
2021-01-11,35566.65625,3.1080899238586426
2021-01-12,33922.9609375,3.6133980751037598
2021-01-13,37316.359375,3.513782024383545
2021-01-14,39187.328125,3.2781639099121094
2021-01-15,36825.3671875,3.2501609325408936
2021-01-16,36178.140625,3.4470551013946533
2021-01-17,35791.27734375,3.81813907623291
2021-01-18,36630.07421875,3.7955150604248047
2021-01-19,36069.8046875,3.6418659687042236
2021-01-20,35547.75,3.7235779762268066
2021-01-21,30825.69921875,2.9905359745025635
2021-01-22,33005.76171875,3.346229076385498
2021-01-23,32067.642578125,3.5041120052337646
2021-01-24,32289.37890625,3.634411096572876
2021-01-25,32366.392578125,3.6999809741973877
2021-01-26,32569.849609375,4.04734992980957
2021-01-27,30432.546875,3.690587043762207
2021-01-28,33466.09765625,3.8220720291137695
2021-01-29,34316.38671875,3.8346760272979736
2021-01-30,34269.5234375,4.224276065826416
2021-01-31,33114.359375,4.264143943786621
2021-02-01,33537.17578125,4.611601829528809
2021-02-02,35510.2890625,5.267508029937744
2021-02-03,37472.08984375,5.71599006652832
2021-02-04,36926.06640625,6.426064968109131
2021-02-05,38144.30859375,6.681719779968262
2021-02-06,39266.01171875,6.110806941986084
2021-02-07,38903.44140625,6.700462818145752
2021-02-08,46196.46484375,7.8832502365112305
2021-02-09,46481.10546875,7.816792964935303
2021-02-10,44918.18359375,9.072214126586914
2021-02-11,47909.33203125,9.215352058410645
2021-02-12,47504.8515625,9.2470121383667
2021-02-13,47105.515625,8.732455253601074
2021-02-14,48717.2890625,8.738896369934082
2021-02-15,47945.05859375,8.861739158630371
2021-02-16,49199.87109375,8.297866821289062
2021-02-17,52149.0078125,8.222577095031738
2021-02-18,51679.796875,8.980451583862305
2021-02-19,55888.1328125,11.465653419494629
