Date,logBTC,logSOL
2021-01-01,10.287870394647127,0.6108975666392974
2021-01-02,10.377460405795935,0.587383828566971
2021-01-03,10.397635578199328,0.7709189973499094
2021-01-04,10.372613110843512,0.9103116654105978
2021-01-05,10.433893122556716,0.7688189769756726
2021-01-06,10.513914950787596,0.6571142112339372
2021-01-07,10.580785875046123,0.864047528393723
2021-01-08,10.616378764925573,1.1693462714263678
2021-01-09,10.602978242305058,1.2194667322080195
2021-01-10,10.554677756348193,1.2430332002294566
2021-01-11,10.479163855744467,1.1340083651173003
2021-01-12,10.431847377885637,1.2846486246470148
2021-01-13,10.527187098621894,1.2566929572158683
2021-01-14,10.576108711400746,1.1872834820953568
2021-01-15,10.513942212428438,1.1787045128205753
2021-01-16,10.496210365284819,1.237520272725982
2021-01-17,10.48545949308548,1.3397631511023889
2021-01-18,10.508624881944709,1.3338201224354092
2021-01-19,10.493211359064516,1.2924961790643077
2021-01-20,10.478632142089177,1.3146850275974185
2021-01-21,10.336104011270818,1.0954526270246903
2021-01-22,10.40443742274612,1.2078340629783368
2021-01-23,10.37560278135185,1.2539371375272503
2021-01-24,10.382493628703594,1.2904470886646677
2021-01-25,10.384875897340384,1.3083276775281438
2021-01-26,10.391142280801068,1.3980623286270728
2021-01-27,10.32326793557666,1.3057855358493546
2021-01-28,10.418288195123829,1.3407926915624693
2021-01-29,10.443378265971647,1.3440849533623584
2021-01-30,10.442011708658745,1.440847900761314
2021-01-31,10.407722285269173,1.4502414442174492
2021-02-01,10.420409827337169,1.5285752650998043
2021-02-02,10.477577766216589,1.6615573911255612
2021-02-03,10.531351664018128,1.7432675222299179
2021-02-04,10.516672987314305,1.860362370836946
2021-02-05,10.549131840622739,1.899375406504509
2021-02-06,10.57811458190387,1.8100588335279784
2021-02-07,10.568837993720464,1.902176601346378
2021-02-08,10.740658555608588,2.064740285391178
2021-02-09,10.74680117499404,2.056274363654666
2021-02-10,10.712597971564412,2.205216349725689
2021-02-11,10.777065587622806,2.220870795319902
2021-02-12,10.768587122964881,2.224300487276234
2021-02-13,10.76014537771306,2.1670465735633138
2021-02-14,10.793789257619299,2.1677839082313595
2021-02-15,10.777811021690487,2.18174303865312
2021-02-16,10.803646282431236,2.1159984722867096
2021-02-17,10.861860434600757,2.106883675143138
2021-02-18,10.852822208011453,2.1950501687849457
2021-02-19,10.931107343448385,2.439355907227907
2021-02-20,10.934882526968764,2.302851418762762
2021-02-21,10.960234686679296,2.4056391311200334
2021-02-22,10.900571239424043,2.6710255256164297
